start_month,tr_end_month,model,r2,ann_ret,sharpe,ic_mean,ic_std,t_stat
2018-01,2019-01,Ridge_all,-0.025038484335216715,0.06907482878123357,2.877266120406132,0.07539887335763422,0.06651599226332976,1.9633576083757929
2018-01,2019-01,Ridge_pca,-0.0005835943356347073,0.020557088006931075,0.5883639602429733,0.05173031829825442,0.07350768945406864,1.2189138340455252
2018-01,2019-01,Ridge_sel,-0.016541787202613234,0.08523009707597173,4.074733055743857,0.08497983541495868,0.05610198421061642,2.6236040423271905
2018-01,2019-01,XGB_all,-0.08415371621914836,0.018648252351562367,0.6531317259865445,0.027141969287036827,0.07366551335915206,0.6381720248581043
2018-01,2019-01,XGB_pca,-0.07815816326698433,0.03333832220898867,0.78357031700505,0.056788075876665046,0.1062674353052554,0.9255877155585784
2018-01,2019-01,XGB_sel,-0.1507777595784523,0.02106800884105433,0.49841934071222826,0.021389922783354946,0.10337001149684244,0.3584060066770675
2018-04,2019-04,Ridge_all,0.009362255035113676,0.0649657242732804,2.6759664888556047,0.05722310974400102,0.07306898174843282,1.3564351257135896
2018-04,2019-04,Ridge_pca,-0.001005284478212909,0.009826011266693753,0.21527796166668225,0.03406038312849245,0.09822808961421553,0.6005849684698854
2018-04,2019-04,Ridge_sel,0.008538828273247034,0.051261775947605503,6.614886759556592,0.05433570114923725,0.04375987909118429,2.150650253380546
2018-04,2019-04,XGB_all,-0.0068347784173861115,0.1108276538047322,8.310706568836752,0.09890815520807901,0.034895203449830915,4.9093839028507285
2018-04,2019-04,XGB_pca,-0.04107117776461866,0.02519670758713273,0.48951601415261653,0.045984366696246635,0.11349498901272075,0.7017689517803324
2018-04,2019-04,XGB_sel,-0.008973016080900509,0.11007406662221977,4.135580833498122,0.09360856920062154,0.058226085324519256,2.7845732196429838
2018-07,2019-07,Ridge_all,0.00969665956076804,0.08857913545277882,3.2441998672076915,0.08311126833809736,0.0785202510560606,1.8333224551243223
2018-07,2019-07,Ridge_pca,0.005957900424104379,0.12345204577391114,14.276874168363745,0.09872677687560694,0.023480704757573436,7.28256648944548
2018-07,2019-07,Ridge_sel,-0.006787607861100442,0.032097256558162625,1.1596447637967913,0.03835577204475513,0.07407754475301799,0.8968189505543689
2018-07,2019-07,XGB_all,-0.03905690049014332,0.06466981127524023,3.6524183412628144,0.0743695321696596,0.04499376976453307,2.8628809927928307
2018-07,2019-07,XGB_pca,-0.08346648724952499,0.09783157877103794,10.956819342141543,0.08970458949164561,0.02881894276608729,5.391346515822731
2018-07,2019-07,XGB_sel,-0.059860700030845315,0.04263348341153883,2.9637094066960565,0.06014745002534334,0.033997389127165094,3.064307056048678
2018-10,2019-10,Ridge_all,-0.00021918356419026175,0.09147426074598466,3.6052205666116337,0.10432766035714779,0.04406332364435235,4.100934596578712
2018-10,2019-10,Ridge_pca,0.0010863092126979224,0.01451449146878132,0.6060403935054139,0.06869682733452588,0.05563273595627457,2.138783815264892
2018-10,2019-10,Ridge_sel,-0.00414398019007578,0.05610885823946053,2.6844516536748797,0.07276615316465213,0.041663915100945546,3.0250319502416616
2018-10,2019-10,XGB_all,-0.0057704308640036395,0.05749930471702241,1.2193768466708916,0.07804020003042422,0.10192255007172875,1.3261990736142923
2018-10,2019-10,XGB_pca,-0.013056210524720058,0.017156852282499642,0.5848801696349688,0.06625801362934337,0.06146457702837602,1.8671282153561748
2018-10,2019-10,XGB_sel,-0.030551456751263473,0.03638351564932114,1.0490284429761767,0.06959878521290286,0.07666837096445216,1.5723385095754083
2019-01,2020-01,Ridge_all,0.0306027780950221,0.06086059326013515,4.471859208728254,0.07039870683737322,0.06063393652851407,2.010988301446261
2019-01,2020-01,Ridge_pca,-0.006682527748078426,0.052544675821441955,0.52649045655877,0.03797940065277952,0.13727376631097873,0.4792048279829826
2019-01,2020-01,Ridge_sel,0.0037699041964875946,0.09352360482077245,1.974977432333435,0.06437722114280857,0.06286893749482257,1.7736042998758248
2019-01,2020-01,XGB_all,-0.008345467090345338,0.14253598094022774,7.048544129377328,0.08435373352165536,0.03750553474470656,3.895557102762118
2019-01,2020-01,XGB_pca,-0.008716613219611702,0.06785753935710195,1.3069729617955552,0.04316924192734359,0.08059101741566524,0.92778727381915
2019-01,2020-01,XGB_sel,-0.009369644966841228,0.11156696601775573,6.09995090434747,0.07117638150137434,0.02828864673210882,4.357971246442009
2019-04,2020-04,Ridge_all,0.010714631504855188,-0.03205899778212311,-1.2673279025758422,0.009666443791379134,0.06534905624290534,0.25620525739413536
2019-04,2020-04,Ridge_pca,0.014791263292724066,0.0896614022449828,4.128475449195455,0.0014425030066298518,0.05136442084969255,0.048642395966365166
2019-04,2020-04,Ridge_sel,-0.004591741801547977,-0.13655901123646907,-3.843395088155478,-0.048986890508702606,0.08149913529231466,-1.0410881411386905
2019-04,2020-04,XGB_all,0.009221664981876376,-0.01220373766575545,-0.3339414322367965,-0.002193273623561411,0.04473332680885376,-0.08492239727981013
