,sel_freq,t_stat,sign,sign_stability,dominant_sign_label,ic_mean,ic_std,n_pos,n_neg,n_zero,feat_w
me,0.881578947368421,13.45955570547357,1,1.0,+,0.047951748616768326,0.01921743451775643,76,0,0,0.9407880461431516
be_me,0.5921052631578947,2.322790889211562,1,0.618421052631579,+,0.010831236870568865,0.024107059720282622,47,29,0,0.7067996950523728
sale_me,0.6578947368421053,4.439881948795673,1,0.7631578947368421,+,0.021035002862630273,0.023691663817897387,58,18,0,0.817287591543048
ni_me,0.2236842105263158,12.118609491831714,1,0.9868421052631579,+,0.04895896171424204,0.021142875400026295,75,1,0,0.6118366482826888
ocf_me,0.2631578947368421,10.915856371311742,1,0.9736842105263158,+,0.04498757559888752,0.021086811524541924,74,2,0,0.6315607798368922
fcf_me,0.10526315789473684,12.422144071596703,1,1.0,+,0.050128036285190296,0.021287936791196668,76,0,0,0.552627550574829
ebitda_mev,0.06578947368421052,10.624796341931496,1,0.9605263157894737,+,0.047294397191725665,0.022448233321878463,73,3,0,0.5328704316520384
div12m_me,0.06578947368421052,8.128428427645982,1,0.9078947368421053,+,0.03040819826501598,0.02068563369851978,69,7,0,0.5325997923600131
gp_at,0.14473684210526316,11.529007349813702,1,0.9868421052631579,+,0.030801302038484506,0.014616602864773795,75,1,0,0.572358580682083
ope_be,0.2631578947368421,17.382866846227454,1,1.0,+,0.0435255086519126,0.01362978339651948,76,0,0,0.6315789191380338
cop_at,0.05263157894736842,22.20336729474703,1,1.0,+,0.03686857692318211,0.008827889434363717,76,0,0,0.5263157892460696
ocf_at,0.5394736842105263,24.049538894249814,1,1.0,+,0.04954702527254658,0.01120669641634552,76,0,0,0.7697368420693363
op_at,0.4605263157894737,25.489129074482914,1,1.0,+,0.04672466202304898,0.010918675270846943,76,0,0,0.7302631578862212
niq_be,0.5657894736842105,14.468554310213914,1,1.0,+,0.05114164486012169,0.018796757812154792,76,0,0,0.7828942163831616
ret_1_0,1.0,-1.0408809516390833,-1,0.5921052631578947,-,-0.005122100188367738,0.026267980089250156,31,45,0,0.7390199505273919
ret_6_1,0.868421052631579,4.4390484321912895,1,0.7763157894736842,+,0.022904794829354768,0.026251899603531893,59,17,0,0.9225411402262926
ret_12_1,0.9342105263157895,4.708151994029472,1,0.8552631578947368,+,0.031147356240821072,0.03576184049620022,65,11,0,0.9581644879194107
ret_60_12,0.4342105263157895,3.1559730697843498,1,0.7631578947368421,+,0.012427101195252206,0.022112362993434945,58,18,0,0.6762486964781425
resff3_12_1,0.19736842105263158,6.47131084718821,1,0.8947368421052632,+,0.01637148755302717,0.013856143357588752,68,8,0,0.5971394043794337
seas_1_1an,0.7763157894736842,4.516007571064416,1,0.8157894736842105,+,0.017743307430041877,0.020214870250914656,62,14,0,0.8773435393676305
at_gr1,0.21052631578947367,-1.0689240892301701,-1,0.5526315789473685,-,-0.004927115208649825,0.02387248231881633,34,42,0,0.34965541140394496
sale_gr1,0.25,-0.48862711475110143,1,0.5131578947368421,+,-0.002020636775320009,0.021377945262162856,39,37,0,0.24478296237573993
capx_gr1,0.2236842105263158,-2.0147585094953726,-1,0.5526315789473685,-,-0.004156756667663361,0.011254015684245347,34,42,0,0.49418004446399594
inv_gr1,0.23684210526315788,-3.11079525051287,-1,0.7368421052631579,-,-0.007409674186421817,0.012490463608405585,20,56,0,0.5757569013786139
noa_gr1a,0.2894736842105263,-3.1940770522576196,-1,0.7763157894736842,-,-0.011124985771605771,0.017911140131156415,17,59,0,0.6053476189171938
emp_gr1,0.2894736842105263,-1.7715506082768242,-1,0.5263157894736842,-,-0.005716608671090027,0.01624166420885825,36,40,0,0.49938724047420446
beta_60m,0.7894736842105263,-3.3516248731883564,-1,0.8026315789473685,-,-0.018468574079999203,0.029797588471918185,15,61,0,0.8608948462224443
ivol_capm_21d,0.19736842105263158,-13.610591257959754,-1,1.0,-,-0.07143918282941318,0.029172040308381508,0,76,0,0.5986829831018147
ivol_ff3_21d,0.02631578947368421,-13.357007173424893,-1,1.0,-,-0.0708426862289741,0.029141249401262722,0,76,0,0.5131563130343354
rvol_21d,0.7763157894736842,-11.837335074920274,-1,0.9736842105263158,-,-0.06654586514989409,0.03125095030572424,2,74,0,0.8881506652485824
rmax1_21d,0.0,-12.316491670762657,-1,0.9736842105263158,-,-0.06107468537117695,0.02758333464111931,2,74,0,0.499995522725862
rmax5_21d,0.0,-12.14748175689399,-1,0.9605263157894737,-,-0.06441535940653534,0.02953903567720268,3,73,0,0.4999946983213366
rmax5_rvol_21d,0.9078947368421053,-3.615152529835692,-1,0.8026315789473685,-,-0.013221001475137056,0.01820347348779023,15,61,0,0.9277398663091704
