,niq_su,oaccruals_at,taccruals_at,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,ami_126d,turnover_126d,me,dolvol,netis_at,capx_gr1,emp_gr1,mispricing_mgmt,noa_gr1a,inv_gr1,at_gr1,sale_gr1,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,cash_at,ret_60_12,at_me,be_me,sale_me,z_score,ebitda_mev,fcf_me,ni_me,ocf_me,niq_be,f_score,o_score,qmj,op_at,ocf_at,cop_at,gp_at,ope_be,age,div12m_me,chcsho_12m,eqnpo_12m
o_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
qmj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
op_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
ocf_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
cop_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
gp_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
ope_be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9743589743589743,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32051282051282054,0.4358974358974359,0.4358974358974359,0.4358974358974359
age,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.2564102564102564,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.24358974358974358,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.0641025641025641,0.16666666666666666,0.0641025641025641,0.05128205128205128,0.2948717948717949,0.2948717948717949,0.2948717948717949,0.2692307692307692,0.358974358974359,0.358974358974359,0.358974358974359,0.358974358974359,0.2948717948717949,0.3333333333333333,0.32051282051282054,0.32051282051282054,0.32051282051282054,0.32051282051282054,0.32051282051282054,0.32051282051282054,0.32051282051282054,1.0,0.7307692307692307,0.7051282051282052,0.7051282051282052
div12m_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.3076923076923077,0.0,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.2948717948717949,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.05128205128205128,0.15384615384615385,0.1282051282051282,0.11538461538461539,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.41025641025641024,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.41025641025641024,0.44871794871794873,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.7307692307692307,1.0,0.9487179487179487,0.9487179487179487
chcsho_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.358974358974359,0.05128205128205128,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.2692307692307692,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.05128205128205128,0.14102564102564102,0.08974358974358974,0.14102564102564102,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.41025641025641024,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.41025641025641024,0.44871794871794873,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.7051282051282052,0.9487179487179487,1.0,1.0
eqnpo_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.358974358974359,0.05128205128205128,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.2692307692307692,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.05128205128205128,0.14102564102564102,0.08974358974358974,0.14102564102564102,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.41025641025641024,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.41025641025641024,0.44871794871794873,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.7051282051282052,0.9487179487179487,1.0,1.0
