,niq_su,oaccruals_at,taccruals_at,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,ami_126d,turnover_126d,me,dolvol,netis_at,capx_gr1,emp_gr1,mispricing_mgmt,noa_gr1a,inv_gr1,at_gr1,sale_gr1,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,cash_at,ret_60_12,at_me,be_me,sale_me,z_score,ebitda_mev,fcf_me,ni_me,ocf_me,niq_be,f_score,o_score,qmj,op_at,ocf_at,cop_at,gp_at,ope_be,age,div12m_me,chcsho_12m,eqnpo_12m
dolvol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.05128205128205128,0.07692307692307693,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282
netis_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3076923076923077,0.38461538461538464,0.41025641025641024,0.3974358974358974,0.3974358974358974,0.3974358974358974,0.3974358974358974,0.0,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.21794871794871795,0.11538461538461539,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.3333333333333333,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.2564102564102564,0.3076923076923077,0.358974358974359,0.358974358974359
capx_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.0,0.6794871794871795,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128
emp_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.6794871794871795,1.0,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.10256410256410256
mispricing_mgmt,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.6923076923076923,0.9487179487179487,1.0,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14102564102564102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.07692307692307693,0.1282051282051282,0.1282051282051282
noa_gr1a,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974358974358974,0.6923076923076923,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.10256410256410256
inv_gr1,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974358974358974,0.6923076923076923,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.10256410256410256
at_gr1,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974358974358974,0.6923076923076923,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.10256410256410256
sale_gr1,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974358974358974,0.6923076923076923,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.10256410256410256
beta_60m,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.2564102564102564,0.41025641025641024,0.10256410256410256,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.01282051282051282,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.24358974358974358,0.2948717948717949,0.2692307692307692,0.2692307692307692
