date,ridge_all,ridge_pca,ridge_sel,xgb_all,xgb_pca,xgb_sel,market
2019-01-31,0.008333092773842064,0.002204473514288702,0.001774106525513202,-0.007537571741903845,0.006435276665664881,-0.009736344012337826,0.017172290114877618
2019-02-28,-0.0020933114848434237,-0.008755809422412282,-0.0021945873424970286,0.00366215700578224,-0.01071733583443565,0.0026729939828644637,0.0004921695362868396
2019-03-31,0.011028925906309751,0.005231410163651985,0.010834723185196625,0.008537477824012197,0.007255430653728504,0.01024765596168648,0.013558326448462901
2019-04-30,-0.001993855241538822,-0.015992904697565362,0.00152498314865958,0.013679404997298495,-0.01568346167616826,0.01785566324961212,-0.04999026346299809
2019-05-31,0.006296082219354589,0.00836250526894826,0.009142671009051827,0.007110658780793676,0.011454380150017603,0.006081141262935191,0.0348559151898752
2019-06-30,0.011939204090504332,0.008095633698833645,0.0022016040811579213,0.006916849673090874,0.009121047093249672,0.0006781111732053636,-0.02830904885964608
2019-07-31,0.0016648499271282088,0.004550283161762625,-0.00455403835502677,0.011255311838988237,0.0049818992913386664,0.0036893595452933844,-0.0427673405747905
2019-08-31,0.01637300257492824,0.01585840204649071,0.01255895058118338,0.0030185601875370323,0.008298130177991053,0.0006843874703457162,0.02679699515507579
2019-09-30,0.0041069313611382515,0.013459553210048329,-0.0029331562252998145,0.0018935807922847868,0.009317650712832934,0.0013623452056965558,0.02710884363990773
2019-10-31,0.005891395180565258,0.0012368826345941601,0.005182819594641745,-0.0021661302565443453,0.0005130318692037911,0.0005485485528013744,0.014918502604423012
2019-11-30,0.0013192436584962808,-0.0048641582523702934,-0.001046906181251943,-0.003935637363551729,-0.004190769750074162,-0.003671098755154259,0.0457012569257018
2019-12-31,0.01565792634743463,0.0057210031833372565,0.019894325497384555,0.020476593799351676,0.009657938577327567,0.019703931348996485,-0.026936568367697138
2020-01-31,0.0006672267599927804,-6.44251090764084e-05,-0.0006985537827524334,0.005211894920167715,0.0013473667972366526,0.0038014868391453216,-0.10564958498156056
2020-02-29,0.008215049531206718,0.016735847101406826,0.021677149774099676,0.01607701336050283,0.01600178453053864,0.014750753081046276,-0.1885925113046582
2020-03-31,0.0063328720238342885,-0.019328955503785508,-0.009062965258131876,0.01434508695438639,-0.014223590187284467,0.00947579799652682,0.1593038559800615
2020-04-30,-0.0009191600753087796,0.0008957859311322247,-0.007328879262842246,0.007971038600760746,-0.005277643799570548,0.009085907137822867,0.06516007342790976
2020-05-31,0.0035952411390677754,0.015142041547182714,0.005424090848282254,0.0016096627950011096,-0.013972404623002352,-0.005708913748411015,0.04924374645400428
2020-06-30,-0.010690830509289774,0.0014599903931051491,-0.0007892587286892243,-0.012631635812200719,-0.007528688049568927,-0.005200366832208489,0.037826637449710494
2020-07-31,0.013629777693068617,0.0157302837334634,0.013512453038306234,0.0026885519672126415,-0.0034506802180345342,0.002212802512328464,0.07448117307356288
2020-08-31,0.0016274797301080442,-0.005612039572539853,-0.002090715700877797,0.013599977267414323,-0.0034295109842785074,0.0115011651609526,0.003715854959299443
2020-09-30,-0.012852744309354014,-0.00454832084926942,-0.013610803950988825,-0.013055455672204843,-0.009103650506800268,-0.013130611991235289,-0.011082338945879726
2020-10-31,0.005474733265299241,0.03820868778549914,0.008992755124924414,-0.004026246863549656,0.015807059632945958,-0.005813644246884846,0.14430016676924043
