,ret_60_12,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,ami_126d,turnover_126d,me,dolvol,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,oaccruals_at,taccruals_at,netis_at,age,div12m_me,chcsho_12m,eqnpo_12m,cash_at,at_me,be_me,sale_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,ope_be,gp_at,ebitda_mev,fcf_me,ni_me,ocf_me,niq_su,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1
ret_60_12,1.0,0.47435897435897434,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.2692307692307692,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.08974358974358974,0.14102564102564102,0.34615384615384615,0.34615384615384615,0.47435897435897434,0.46153846153846156,0.46153846153846156,0.5128205128205128,0.5128205128205128,0.47435897435897434,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.038461538461538464
capx_gr1,0.47435897435897434,1.0,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.2564102564102564,0.2564102564102564,0.44871794871794873,0.1282051282051282,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.10256410256410256,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.0,0.0,0.0,0.0,0.0
mispricing_mgmt,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
emp_gr1,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
noa_gr1a,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
inv_gr1,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
at_gr1,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
sale_gr1,0.5384615384615384,0.9358974358974359,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.32051282051282054,0.32051282051282054,0.5128205128205128,0.19230769230769232,0.16666666666666666,0.21794871794871795,0.21794871794871795,0.11538461538461539,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
ami_126d,0.24358974358974358,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0,1.0,1.0,1.0,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.5641025641025641,0.717948717948718,0.14102564102564102,0.14102564102564102,0.24358974358974358,0.5897435897435898,0.5769230769230769,0.5512820512820513,0.5512820512820513,0.47435897435897434,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.038461538461538464
turnover_126d,0.24358974358974358,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0,1.0,1.0,1.0,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.5641025641025641,0.717948717948718,0.14102564102564102,0.14102564102564102,0.24358974358974358,0.5897435897435898,0.5769230769230769,0.5512820512820513,0.5512820512820513,0.47435897435897434,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.038461538461538464
