date,ridge_all,ridge_pca,ridge_sel,xgb_all,xgb_pca,xgb_sel,market
2019-01-31,0.008333092773842064,0.0029390168089273704,0.001774106525513202,-0.007537571741903845,-0.0073002043616737546,-0.009736344012337826,0.017172290114877618
2019-02-28,-0.0020933114848434237,-0.008530913987943336,-0.0021945873424970286,0.00366215700578224,0.0017108250137319947,0.0026729939828644637,0.0004921695362868396
2019-03-31,0.011028925906309751,0.01395966303889745,0.010834723185196625,0.008537477824012197,0.007170521078304143,0.01024765596168648,0.013558326448462901
2019-04-30,-0.001993855241538822,-0.010792344241651125,0.00152498314865958,0.013679404997298495,0.007125114758688283,0.01785566324961212,-0.04999026346299809
2019-05-31,0.006296082219354589,0.011543551858917384,0.009142671009051827,0.007110658780793676,0.006548864779256719,0.006081141262935191,0.0348559151898752
2019-06-30,0.011939204090504332,0.00046952808619766737,0.0022016040811579213,0.006916849673090874,0.002413395173485577,0.0006781111732053636,-0.02830904885964608
2019-07-31,0.0016648499271282088,-0.0017227567921595732,-0.00455403835502677,0.011255311838988237,0.005405683260544382,0.0036893595452933844,-0.0427673405747905
2019-08-31,0.01637300257492824,0.013525439192136394,0.01255895058118338,0.0030185601875370323,-0.004143302333047073,0.0006843874703457162,0.02679699515507579
2019-09-30,0.0041069313611382515,0.008763039217003405,-0.0029331562252998145,0.0018935807922847868,-0.0017621807919702866,0.0013623452056965558,0.02710884363990773
2019-10-31,0.005891395180565258,0.0005300558609715438,0.005182819594641745,-0.0021661302565443453,0.0024823680262344786,0.0005485485528013744,0.014918502604423012
2019-11-30,0.0013192436584962808,-0.0038575972899163153,-0.001046906181251943,-0.003935637363551729,-0.005323444822627921,-0.003671098755154259,0.0457012569257018
2019-12-31,0.01565792634743463,0.009515679995552449,0.019894325497384555,0.020476593799351676,0.012179761838933392,0.019703931348996485,-0.026936568367697138
2020-01-31,0.0006672267599927804,0.0020964849610763097,-0.0006985537827524334,0.005211894920167715,0.0034352302217207286,0.0038014868391453216,-0.10564958498156056
