,niq_su,seas_1_1an,ret_6_1,ret_12_1,resff3_12_1,cash_at,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,age,div12m_me,chcsho_12m,eqnpo_12m,ret_60_12,at_me,be_me,sale_me,ebitda_mev,fcf_me,ni_me,ocf_me,f_score,z_score,qmj,o_score,niq_be,op_at,ocf_at,cop_at,gp_at,ope_be,capx_gr1,netis_at,emp_gr1,mispricing_mgmt,sale_gr1,noa_gr1a,at_gr1,inv_gr1,ami_126d,turnover_126d,me,dolvol,oaccruals_at,taccruals_at
at_me,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.34615384615384615,0.3333333333333333,0.3333333333333333,0.1282051282051282,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11538461538461539,0.28205128205128205,0.2564102564102564,0.2564102564102564,0.24358974358974358,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be_me,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.34615384615384615,0.3333333333333333,0.3333333333333333,0.1282051282051282,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11538461538461539,0.28205128205128205,0.2564102564102564,0.2564102564102564,0.24358974358974358,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sale_me,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.34615384615384615,0.3333333333333333,0.3333333333333333,0.1282051282051282,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11538461538461539,0.28205128205128205,0.2564102564102564,0.2564102564102564,0.24358974358974358,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebitda_mev,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01282051282051282,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,1.0,0.4230769230769231,0.5256410256410257,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fcf_me,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01282051282051282,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,1.0,0.4230769230769231,0.5256410256410257,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ni_me,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01282051282051282,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,1.0,0.4230769230769231,0.5256410256410257,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocf_me,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01282051282051282,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,1.0,0.4230769230769231,0.5256410256410257,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.0,0.48717948717948717,0.5384615384615384,0.5384615384615384,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_score,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14102564102564102,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.5256410256410257,0.5256410256410257,0.5256410256410257,0.5256410256410257,0.48717948717948717,1.0,0.9487179487179487,0.9487179487179487,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qmj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.5384615384615384,0.9487179487179487,1.0,1.0,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
