,ann_ret,ann_vol,sharpe,ic_mean,ic_std,t_stat
ridge_all,0.019392392868288588,0.04108480963847078,0.47200882854109755,0.003225300378091301,0.09824730685215821,0.2766168856941308
ridge_pca,0.017811405564831448,0.0376993319428765,0.4724594481361098,-0.005994682118268878,0.08763560116180323,-0.5763877773583623
ridge_sel,0.0009460260929924182,0.04100125408573819,0.023073101398658986,-0.014520907817672542,0.09330603427706782,-1.3113336673474723
xgb_all,0.035667418979057626,0.03660702510777994,0.9743326280691784,0.00795516622027808,0.07628439495536285,0.87870424982461
xgb_pca,0.03163065470278754,0.02492231548632548,1.2691699822250797,0.0031979951154323524,0.05635877999699681,0.47812933172001476
xgb_sel,0.03525208811927334,0.03697967642657299,0.9532827630136258,0.0033430492425868675,0.07286707955925112,0.38658107045768686
market,0.05881929957688808,0.1895904570236147,0.3102439885440107,,,
