,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,ami_126d,turnover_126d,me,dolvol,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,cash_at,ret_60_12,age,div12m_me,chcsho_12m,eqnpo_12m,netis_at,at_me,be_me,sale_me,ebitda_mev,fcf_me,ni_me,ocf_me,z_score,f_score,o_score,qmj,niq_be,op_at,ocf_at,cop_at,gp_at,ope_be,niq_su,oaccruals_at,taccruals_at
sale_gr1,0.0,0.0,0.0,0.0,0.7105263157894737,0.9605263157894737,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.06578947368421052,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ami_126d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23684210526315788,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnover_126d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23684210526315788,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23684210526315788,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolvol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23684210526315788,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta_60m,0.0,0.02631578947368421,0.039473684210526314,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,1.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.2631578947368421,0.4473684210526316,0.10526315789473684,0.11842105263157894,0.2631578947368421,0.2631578947368421,0.25,0.25,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0
bidaskhl_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
rmax5_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
rmax1_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
rvol_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
