,seas_1_1an,ret_6_1,ret_12_1,resff3_12_1,niq_su,cash_at,age,emp_gr1,netis_at,inv_gr1,sale_gr1,mispricing_mgmt,at_gr1,noa_gr1a,div12m_me,chcsho_12m,eqnpo_12m,at_me,be_me,sale_me,ni_me,ebitda_mev,ocf_me,fcf_me,f_score,z_score,qmj,o_score,niq_be,op_at,ocf_at,cop_at,gp_at,ope_be,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,ret_60_12,beta_60m,oaccruals_at,taccruals_at,capx_gr1,ami_126d,turnover_126d,me,dolvol
at_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.07692307692307693,0.5256410256410257,0.6666666666666666,0.9230769230769231,1.0,1.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noa_gr1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.07692307692307693,0.5256410256410257,0.6666666666666666,0.9230769230769231,1.0,1.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
div12m_me,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7692307692307693,0.7692307692307693,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chcsho_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.038461538461538464,0.0,0.01282051282051282,0.08974358974358974,0.01282051282051282,0.01282051282051282,0.7692307692307693,1.0,1.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eqnpo_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.038461538461538464,0.0,0.01282051282051282,0.08974358974358974,0.01282051282051282,0.01282051282051282,0.7692307692307693,1.0,1.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,1.0,1.0,1.0,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,1.0,1.0,1.0,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sale_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,1.0,1.0,1.0,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ni_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.6538461538461539,0.6538461538461539,0.6538461538461539,1.0,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.1794871794871795,0.038461538461538464,0.07692307692307693,0.0641025641025641,0.24358974358974358,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebitda_mev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.9871794871794872,1.0,1.0,1.0,0.1794871794871795,0.02564102564102564,0.0641025641025641,0.05128205128205128,0.23076923076923078,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
