,ann_ret,ann_vol,sharpe,ic_mean,ic_std,t_stat
ridge_all,0.024998899437960034,0.04530789210254206,0.5517559585729974,0.023812332242708276,0.10813183238617002,1.8555708665800705
ridge_pca,0.026553823716153602,0.04122955509088923,0.6440482721100568,0.016729449780272472,0.09252442532205261,1.5235420158595687
ridge_sel,0.028852791774138697,0.048626946416602375,0.593349858470399,0.023632624101511776,0.11291737898937729,1.7635197698951988
xgb_all,0.03983217266762687,0.045211015436632696,0.8810280477653779,0.020265426652662115,0.09088391350627845,1.8788750792609146
xgb_pca,0.037124123401882377,0.0329101611343501,1.128044413101762,0.018482189377433015,0.07333562467801366,2.1235749543857003
xgb_sel,0.03652237964715194,0.04262908393507487,0.8567479353479988,0.019398602354893373,0.08534533439852886,1.9152251260666542
market,0.05881929957688808,0.1895904570236147,0.3102439885440107,,,
